State,VehicleType,EmissionStandard,RegistrationCount
UK,Transport,BHARAT STAGE III,39.0
UK,Transport,BHARAT STAGE III/IV,5.0
UK,Transport,NOT AVAILABLE,68867.0
UK,Transport,EURO 1,1.0
UK,Transport,BHARAT STAGE VI,37.0
UK,Transport,EURO 2,2.0
UK,Transport,BHARAT STAGE II,1.0
UK,Non Transport,EURO 3,96.0
UK,Non Transport,EURO 4,124.0
UK,Non Transport,BHARAT STAGE IV,25.0
UK,Non Transport,BHARAT  TREM  STAGE III,1.0
UK,Non Transport,BHARAT STAGE I,3.0
UK,Non Transport,BHARAT STAGE III,71.0
UK,Non Transport,BHARAT STAGE III/IV,5.0
UK,Non Transport,NOT AVAILABLE,110512.0
UK,Non Transport,EURO 1,1.0
UK,Non Transport,BHARAT STAGE VI,1933.0
UK,Non Transport,EURO 2,4.0
UK,Non Transport,BHARAT STAGE II,4.0
UP,Transport,BHARAT STAGE I,122.0
UP,Transport,BHARAT STAGE III  CEV,4.0
UP,Transport,TREM STAGE IV,1.0
UP,Transport,BHARAT STAGE III,189.0
UP,Transport,BHARAT  TREM  STAGE III A,313.0
UP,Transport,BHARAT STAGE III/IV,5.0
UP,Transport,BHARAT  TREM  STAGE III B,1.0
UP,Transport,NOT AVAILABLE,1310410.0
UP,Transport,EURO 1,821.0
UP,Transport,EURO 2,4817.0
UP,Transport,BHARAT STAGE II,651.0
UP,Transport,NOT APPLICABLE,90.0
UP,Transport,EURO 3,4403.0
UP,Transport,EURO 4,910.0
UP,Transport,BHARAT  TREM  STAGE III,422.0
UP,Transport,BHARAT STAGE IV,190.0
UP,Transport,TREM STAGE V,1.0
UP,Transport,BHARAT STAGE VI,94.0
UP,Non Transport,BHARAT STAGE I,145.0
UP,Non Transport,BHARAT STAGE III  CEV,4.0
UP,Non Transport,TREM STAGE IV,2.0
UP,Non Transport,BHARAT STAGE III,194.0
UP,Non Transport,BHARAT  TREM  STAGE III A,352.0
UP,Non Transport,BHARAT STAGE III/IV,5.0
UP,Non Transport,BHARAT  TREM  STAGE III B,1.0
UP,Non Transport,NOT AVAILABLE,1736932.0
UP,Non Transport,EURO 1,924.0
UP,Non Transport,EURO 2,5529.0
UP,Non Transport,BHARAT STAGE II,801.0
UP,Non Transport,NOT APPLICABLE,136.0
UP,Non Transport,EURO 3,4500.0
UP,Non Transport,EURO 4,970.0
UP,Non Transport,BHARAT  TREM  STAGE III,426.0
UP,Non Transport,BHARAT STAGE IV,204.0
UP,Non Transport,TREM STAGE V,1.0
UP,Non Transport,BHARAT STAGE VI,32314.0
WB,Transport,EURO 3,8.0
WB,Transport,BHARAT STAGE IV,10.0
WB,Transport,EURO 4,6.0
WB,Transport,BHARAT STAGE III,244.0
WB,Transport,NOT AVAILABLE,213515.0
WB,Transport,BHARAT STAGE VI,101.0
WB,Transport,BHARAT STAGE II,1.0
WB,Transport,NOT APPLICABLE,4.0
WB,Non Transport,EURO 3,8.0
WB,Non Transport,EURO 4,58.0
WB,Non Transport,BHARAT STAGE IV,27.0
WB,Non Transport,BHARAT STAGE I,12.0
WB,Non Transport,BHARAT STAGE III,302.0
WB,Non Transport,NOT AVAILABLE,322320.0
WB,Non Transport,EURO 1,4.0
WB,Non Transport,BHARAT STAGE VI,3987.0
WB,Non Transport,BHARAT STAGE II,34.0
WB,Non Transport,NOT APPLICABLE,10.0
